t	rx	ry	rz	dx	dy	dz	diff_norm
0	1	1	1	1	1	1	0
0.01	0.980162	1.01191	0.955946	0.980162	1.01191	0.955946	1.76181e-09
0.02	0.960637	1.02365	0.913739	0.960637	1.02365	0.913739	3.4038e-09
0.03	0.941409	1.03522	0.873313	0.941409	1.03522	0.873313	4.93011e-09
0.04	0.922461	1.04662	0.834603	0.922461	1.04662	0.834603	6.34498e-09
0.05	0.903779	1.05786	0.797546	0.903779	1.05786	0.797546	7.65266e-09
0.06	0.885349	1.06893	0.762079	0.885349	1.06893	0.762079	8.85743e-09
0.07	0.867155	1.07984	0.728143	0.867155	1.07984	0.728143	9.96356e-09
0.08	0.849185	1.09059	0.69568	0.849185	1.09059	0.69568	1.09753e-08
0.09	0.831425	1.10119	0.664632	0.831425	1.10119	0.664632	1.18969e-08
0.1	0.813864	1.11163	0.634945	0.813864	1.11163	0.634945	1.27325e-08
0.11	0.79649	1.12191	0.606566	0.79649	1.12191	0.606566	1.34862e-08
0.12	0.779291	1.13204	0.579442	0.779291	1.13204	0.579442	1.4162e-08
0.13	0.762257	1.14203	0.553524	0.762257	1.14203	0.553524	1.4764e-08
0.14	0.745377	1.15186	0.528763	0.745377	1.15186	0.528763	1.5296e-08
0.15	0.728641	1.16154	0.505112	0.728641	1.16154	0.505112	1.57617e-08
0.16	0.71204	1.17108	0.482526	0.71204	1.17108	0.482526	1.61648e-08
0.17	0.695566	1.18047	0.460962	0.695566	1.18047	0.460962	1.6509e-08
0.18	0.679209	1.18971	0.440376	0.679209	1.18971	0.440376	1.67976e-08
0.19	0.662962	1.19881	0.420728	0.662962	1.19881	0.420728	1.7034e-08
0.2	0.646816	1.20777	0.401978	0.646816	1.20777	0.401978	1.72215e-08
0.21	0.630764	1.21658	0.38409	0.630764	1.21658	0.38409	1.73631e-08
0.22	0.6148	1.22525	0.367026	0.6148	1.22525	0.367025	1.74618e-08
0.23	0.598917	1.23377	0.35075	0.598917	1.23377	0.35075	1.75206e-08
0.24	0.583108	1.24216	0.33523	0.583108	1.24216	0.33523	1.75421e-08
0.25	0.567367	1.25041	0.320433	0.567367	1.25041	0.320433	1.75291e-08
0.26	0.551689	1.25851	0.306327	0.551689	1.25851	0.306327	1.74841e-08
0.27	0.536068	1.26647	0.292882	0.536068	1.26647	0.292882	1.74095e-08
0.28	0.5205	1.2743	0.280069	0.5205	1.2743	0.280069	1.73076e-08
0.29	0.50498	1.28198	0.26786	0.50498	1.28198	0.26786	1.71807e-08
0.3	0.489502	1.28952	0.256229	0.489502	1.28952	0.256229	1.70307e-08
0.31	0.474063	1.29693	0.24515	0.474063	1.29693	0.24515	1.68598e-08
0.32	0.458659	1.30419	0.234599	0.458659	1.30419	0.234598	1.66697e-08
0.33	0.443286	1.31132	0.22455	0.443286	1.31132	0.22455	1.64624e-08
0.34	0.427941	1.3183	0.214983	0.427941	1.3183	0.214983	1.62394e-08
0.35	0.412619	1.32515	0.205875	0.412619	1.32515	0.205875	1.60024e-08
0.36	0.397319	1.33186	0.197206	0.397319	1.33186	0.197206	1.5753e-08
0.37	0.382037	1.33842	0.188954	0.382037	1.33842	0.188954	1.54925e-08
0.38	0.366771	1.34485	0.181102	0.366771	1.34485	0.181102	1.52223e-08
0.39	0.351517	1.35114	0.173631	0.351517	1.35114	0.173631	1.49436e-08
0.4	0.336274	1.35729	0.166523	0.336274	1.35729	0.166523	1.46576e-08
0.41	0.32104	1.36329	0.159762	0.32104	1.36329	0.159762	1.43656e-08
0.42	0.305813	1.36916	0.153331	0.305813	1.36916	0.153331	1.40684e-08
0.43	0.29059	1.37489	0.147215	0.29059	1.37489	0.147215	1.37671e-08
0.44	0.27537	1.38047	0.141399	0.27537	1.38047	0.141399	1.34625e-08
0.45	0.260152	1.38592	0.13587	0.260152	1.38592	0.13587	1.31556e-08
0.46	0.244934	1.39122	0.130613	0.244934	1.39122	0.130613	1.28472e-08
0.47	0.229715	1.39638	0.125615	0.229715	1.39638	0.125615	1.25378e-08
0.48	0.214494	1.4014	0.120866	0.214494	1.4014	0.120866	1.22283e-08
0.49	0.199269	1.40628	0.116351	0.199269	1.40628	0.116351	1.19193e-08
0.5	0.184041	1.41101	0.112062	0.184041	1.41101	0.112062	1.16113e-08
0.51	0.168808	1.4156	0.107985	0.168808	1.4156	0.107985	1.13048e-08
0.52	0.153569	1.42005	0.104112	0.153569	1.42005	0.104112	1.10004e-08
0.53	0.138324	1.42435	0.100433	0.138324	1.42435	0.100433	1.06986e-08
0.54	0.123073	1.42851	0.0969379	0.123073	1.42851	0.0969379	1.03996e-08
0.55	0.107815	1.43253	0.0936179	0.107815	1.43253	0.0936179	1.01039e-08
0.56	0.0925502	1.4364	0.0904645	0.0925502	1.4364	0.0904645	9.81179e-09
0.57	0.077278	1.44012	0.0874697	0.077278	1.44012	0.0874697	9.52362e-09
0.58	0.0619984	1.4437	0.0846257	0.0619984	1.4437	0.0846256	9.23964e-09
0.59	0.0467114	1.44714	0.0819249	0.0467114	1.44714	0.0819249	8.96009e-09
0.6	0.0314171	1.45043	0.0793604	0.0314171	1.45043	0.0793604	8.68518e-09
0.61	0.0161157	1.45357	0.0769255	0.0161157	1.45357	0.0769255	8.4151e-09
0.62	0.000807361	1.45656	0.0746136	0.00080736	1.45656	0.0746136	8.15002e-09
0.63	-0.0145077	1.45941	0.0724188	-0.0145077	1.45941	0.0724187	7.89007e-09
0.64	-0.0298291	1.46211	0.070335	-0.0298291	1.46211	0.070335	7.63538e-09
0.65	-0.0451564	1.46466	0.0683568	-0.0451564	1.46466	0.0683568	7.38605e-09
0.66	-0.0604893	1.46707	0.0664789	-0.0604893	1.46707	0.0664789	7.14216e-09
0.67	-0.0758271	1.46932	0.0646961	-0.0758272	1.46932	0.0646961	6.90378e-09
0.68	-0.0911694	1.47143	0.0630038	-0.0911694	1.47143	0.0630038	6.67095e-09
0.69	-0.106516	1.47338	0.0613973	-0.106516	1.47338	0.0613973	6.4437e-09
0.7	-0.121865	1.47519	0.0598723	-0.121865	1.47519	0.0598723	6.22206e-09
0.71	-0.137217	1.47685	0.0584246	-0.137217	1.47685	0.0584246	6.00604e-09
0.72	-0.15257	1.47835	0.0570503	-0.15257	1.47835	0.0570503	5.79563e-09
0.73	-0.167924	1.47971	0.0557456	-0.167924	1.47971	0.0557456	5.59081e-09
0.74	-0.183279	1.48091	0.0545069	-0.183279	1.48091	0.0545069	5.39157e-09
0.75	-0.198632	1.48197	0.0533309	-0.198632	1.48197	0.0533309	5.19786e-09
0.76	-0.213984	1.48287	0.0522143	-0.213984	1.48287	0.0522143	5.00964e-09
0.77	-0.229334	1.48362	0.051154	-0.229334	1.48362	0.051154	4.82687e-09
0.78	-0.244679	1.48421	0.0501471	-0.244679	1.48421	0.0501471	4.6495e-09
0.79	-0.260021	1.48466	0.0491909	-0.260021	1.48466	0.0491909	4.47744e-09
0.8	-0.275356	1.48495	0.0482827	-0.275356	1.48495	0.0482827	4.31065e-09
0.81	-0.290685	1.48509	0.04742	-0.290685	1.48509	0.04742	4.14904e-09
0.82	-0.306006	1.48508	0.0466004	-0.306006	1.48508	0.0466004	3.99254e-09
0.83	-0.321318	1.48491	0.0458216	-0.321318	1.48491	0.0458216	3.84107e-09
0.84	-0.33662	1.48459	0.0450815	-0.33662	1.48459	0.0450815	3.69455e-09
0.85	-0.351911	1.48412	0.0443781	-0.351911	1.48412	0.0443781	3.55288e-09
0.86	-0.36719	1.48349	0.0437095	-0.36719	1.48349	0.0437095	3.41597e-09
0.87	-0.382455	1.48271	0.0430737	-0.382455	1.48271	0.0430737	3.28375e-09
0.88	-0.397705	1.48177	0.042469	-0.397705	1.48177	0.042469	3.1561e-09
0.89	-0.412939	1.48068	0.0418939	-0.412939	1.48068	0.0418939	3.03294e-09
0.9	-0.428156	1.47944	0.0413466	-0.428156	1.47944	0.0413466	2.91418e-09
0.91	-0.443355	1.47804	0.0408258	-0.443355	1.47804	0.0408258	2.79971e-09
0.92	-0.458533	1.47648	0.04033	-0.458533	1.47648	0.04033	2.68944e-09
0.93	-0.47369	1.47477	0.0398579	-0.47369	1.47477	0.0398579	2.58327e-09
0.94	-0.488825	1.47291	0.0394082	-0.488825	1.47291	0.0394082	2.48111e-09
0.95	-0.503936	1.47089	0.0389797	-0.503936	1.47089	0.0389797	2.38286e-09
0.96	-0.519022	1.46871	0.0385713	-0.519022	1.46871	0.0385713	2.28842e-09
0.97	-0.534081	1.46638	0.0381818	-0.534081	1.46638	0.0381818	2.1977e-09
0.98	-0.549113	1.4639	0.0378104	-0.549113	1.4639	0.0378104	2.11061e-09
0.99	-0.564115	1.46125	0.0374559	-0.564115	1.46125	0.0374559	2.02704e-09
1	-0.579087	1.45846	0.0371175	-0.579087	1.45846	0.0371175	1.94692e-09
1.01	-0.594026	1.45551	0.0367943	-0.594026	1.45551	0.0367943	1.87014e-09
1.02	-0.608932	1.4524	0.0364856	-0.608932	1.4524	0.0364856	1.79661e-09
1.03	-0.623803	1.44914	0.0361904	-0.623803	1.44914	0.0361904	1.72625e-09
1.04	-0.638638	1.44572	0.0359081	-0.638638	1.44572	0.0359081	1.65898e-09
1.05	-0.653435	1.44215	0.035638	-0.653435	1.44215	0.035638	1.59469e-09
1.06	-0.668193	1.43842	0.0353794	-0.668193	1.43842	0.0353794	1.53332e-09
1.07	-0.682911	1.43454	0.0351317	-0.682911	1.43454	0.0351317	1.47477e-09
1.08	-0.697586	1.4305	0.0348944	-0.697586	1.4305	0.0348944	1.41896e-09
1.09	-0.712218	1.42631	0.0346668	-0.712218	1.42631	0.0346668	1.36582e-09
1.1	-0.726805	1.42196	0.0344484	-0.726805	1.42196	0.0344484	1.31526e-09
1.11	-0.741346	1.41746	0.0342387	-0.741346	1.41746	0.0342387	1.26721e-09
1.12	-0.755839	1.4128	0.0340374	-0.755839	1.4128	0.0340374	1.22159e-09
1.13	-0.770282	1.40799	0.0338438	-0.770282	1.40799	0.0338438	1.17831e-09
1.14	-0.784675	1.40303	0.0336576	-0.784675	1.40303	0.0336576	1.13732e-09
1.15	-0.799016	1.39791	0.0334785	-0.799016	1.39791	0.0334785	1.09853e-09
1.16	-0.813303	1.39264	0.033306	-0.813303	1.39264	0.033306	1.06187e-09
1.17	-0.827534	1.38722	0.0331397	-0.827534	1.38722	0.0331397	1.02726e-09
1.18	-0.841709	1.38164	0.0329795	-0.841709	1.38164	0.0329795	9.94647e-10
1.19	-0.855826	1.37591	0.0328248	-0.855826	1.37591	0.0328248	9.63944e-10
1.2	-0.869883	1.37003	0.0326755	-0.869883	1.37003	0.0326755	9.35086e-10
1.21	-0.88388	1.36399	0.0325312	-0.88388	1.36399	0.0325312	9.08e-10
1.22	-0.897813	1.35781	0.0323918	-0.897813	1.35781	0.0323918	8.82618e-10
1.23	-0.911683	1.35147	0.0322568	-0.911683	1.35147	0.0322568	8.58869e-10
1.24	-0.925487	1.34498	0.0321262	-0.925487	1.34498	0.0321262	8.36686e-10
1.25	-0.939225	1.33834	0.0319997	-0.939225	1.33834	0.0319997	8.15998e-10
1.26	-0.952894	1.33155	0.0318771	-0.952894	1.33155	0.0318771	7.96738e-10
1.27	-0.966493	1.32461	0.0317582	-0.966493	1.32461	0.0317582	7.78838e-10
1.28	-0.98002	1.31752	0.0316427	-0.98002	1.31752	0.0316427	7.62231e-10
1.29	-0.993475	1.31028	0.0315306	-0.993475	1.31028	0.0315306	7.46852e-10
1.3	-1.00686	1.30289	0.0314217	-1.00686	1.30289	0.0314217	7.32636e-10
1.31	-1.02016	1.29535	0.0313158	-1.02016	1.29535	0.0313158	7.19517e-10
1.32	-1.03339	1.28767	0.0312127	-1.03339	1.28767	0.0312127	7.07435e-10
1.33	-1.04654	1.27983	0.0311124	-1.04654	1.27983	0.0311124	6.96328e-10
1.34	-1.05961	1.27185	0.0310147	-1.05961	1.27185	0.0310146	6.86136e-10
1.35	-1.0726	1.26373	0.0309194	-1.0726	1.26373	0.0309194	6.76803e-10
1.36	-1.0855	1.25546	0.0308265	-1.0855	1.25546	0.0308265	6.68272e-10
1.37	-1.09832	1.24704	0.0307359	-1.09832	1.24704	0.0307359	6.60491e-10
1.38	-1.11105	1.23848	0.0306474	-1.11105	1.23848	0.0306474	6.53407e-10
1.39	-1.1237	1.22977	0.030561	-1.1237	1.22977	0.030561	6.46971e-10
1.4	-1.13626	1.22093	0.0304766	-1.13626	1.22093	0.0304766	6.41138e-10
1.41	-1.14873	1.21193	0.0303941	-1.14873	1.21193	0.0303941	6.35862e-10
1.42	-1.16111	1.2028	0.0303134	-1.16111	1.2028	0.0303134	6.31101e-10
1.43	-1.17339	1.19352	0.0302344	-1.17339	1.19352	0.0302344	6.26817e-10
1.44	-1.18558	1.18411	0.0301571	-1.18558	1.18411	0.0301571	6.22971e-10
1.45	-1.19768	1.17455	0.0300814	-1.19768	1.17455	0.0300814	6.19528e-10
1.46	-1.20967	1.16485	0.0300072	-1.20967	1.16485	0.0300072	6.16456e-10
1.47	-1.22157	1.15501	0.0299346	-1.22157	1.15501	0.0299346	6.13725e-10
1.48	-1.23337	1.14504	0.0298633	-1.23337	1.14504	0.0298633	6.11305e-10
1.49	-1.24507	1.13493	0.0297935	-1.24507	1.13493	0.0297935	6.09171e-10
1.5	-1.25667	1.12468	0.029725	-1.25667	1.12468	0.029725	6.07298e-10
1.51	-1.26816	1.11429	0.0296577	-1.26816	1.11429	0.0296577	6.05664e-10
1.52	-1.27955	1.10377	0.0295918	-1.27955	1.10377	0.0295918	6.04247e-10
1.53	-1.29083	1.09312	0.029527	-1.29083	1.09312	0.029527	6.03029e-10
1.54	-1.302	1.08233	0.0294634	-1.302	1.08233	0.0294634	6.01991e-10
1.55	-1.31306	1.07141	0.0294009	-1.31306	1.07141	0.0294009	6.01117e-10
1.56	-1.32401	1.06035	0.0293396	-1.32401	1.06035	0.0293396	6.00392e-10
1.57	-1.33485	1.04917	0.0292793	-1.33485	1.04917	0.0292793	5.99803e-10
1.58	-1.34558	1.03785	0.02922	-1.34558	1.03785	0.02922	5.99337e-10
1.59	-1.3562	1.02641	0.0291618	-1.3562	1.02641	0.0291618	5.98983e-10
1.6	-1.36669	1.01483	0.0291046	-1.36669	1.01483	0.0291046	5.9873e-10
1.61	-1.37707	1.00313	0.0290484	-1.37707	1.00313	0.0290484	5.98567e-10
1.62	-1.38734	0.991306	0.0289931	-1.38734	0.991306	0.0289931	5.98488e-10
1.63	-1.39748	0.979352	0.0289387	-1.39748	0.979352	0.0289387	5.98482e-10
1.64	-1.4075	0.967274	0.0288852	-1.4075	0.967274	0.0288852	5.98544e-10
1.65	-1.4174	0.955072	0.0288326	-1.4174	0.955072	0.0288326	5.98666e-10
1.66	-1.42718	0.942746	0.0287809	-1.42718	0.942746	0.0287809	5.98843e-10
1.67	-1.43683	0.930299	0.0287301	-1.43683	0.930299	0.0287301	5.99068e-10
1.68	-1.44636	0.917731	0.0286801	-1.44636	0.917731	0.0286801	5.99337e-10
1.69	-1.45576	0.905043	0.0286309	-1.45576	0.905043	0.0286309	5.99646e-10
1.7	-1.46503	0.892237	0.0285826	-1.46503	0.892237	0.0285826	5.99989e-10
1.71	-1.47418	0.879312	0.028535	-1.47418	0.879312	0.028535	6.00363e-10
1.72	-1.48319	0.866271	0.0284883	-1.48319	0.866271	0.0284883	6.00765e-10
1.73	-1.49207	0.853114	0.0284423	-1.49207	0.853114	0.0284423	6.01191e-10
1.74	-1.50082	0.839842	0.0283971	-1.50082	0.839842	0.0283971	6.01639e-10
1.75	-1.50943	0.826457	0.0283526	-1.50943	0.826457	0.0283526	6.02106e-10
1.76	-1.51792	0.81296	0.0283089	-1.51792	0.81296	0.0283089	6.0259e-10
1.77	-1.52626	0.799351	0.028266	-1.52626	0.799351	0.028266	6.03087e-10
1.78	-1.53447	0.785632	0.0282238	-1.53447	0.785632	0.0282238	6.03597e-10
1.79	-1.54254	0.771805	0.0281823	-1.54254	0.771805	0.0281823	6.04118e-10
1.8	-1.55047	0.757869	0.0281416	-1.55047	0.757869	0.0281416	6.04648e-10
1.81	-1.55826	0.743827	0.0281015	-1.55826	0.743827	0.0281015	6.05185e-10
1.82	-1.5659	0.72968	0.0280622	-1.5659	0.72968	0.0280622	6.05728e-10
1.83	-1.57341	0.715428	0.0280236	-1.57341	0.715428	0.0280236	6.06276e-10
1.84	-1.58077	0.701074	0.0279857	-1.58077	0.701074	0.0279857	6.06828e-10
1.85	-1.58799	0.686617	0.0279484	-1.58799	0.686617	0.0279484	6.07383e-10
1.86	-1.59506	0.672061	0.0279119	-1.59506	0.672061	0.0279119	6.0794e-10
1.87	-1.60199	0.657405	0.027876	-1.60199	0.657405	0.027876	6.08498e-10
1.88	-1.60877	0.642651	0.0278409	-1.60877	0.642651	0.0278409	6.09056e-10
1.89	-1.6154	0.6278	0.0278064	-1.6154	0.6278	0.0278064	6.09614e-10
1.9	-1.62188	0.612855	0.0277726	-1.62188	0.612855	0.0277726	6.10171e-10
1.91	-1.62821	0.597815	0.0277394	-1.62821	0.597815	0.0277394	6.10727e-10
1.92	-1.63439	0.582682	0.027707	-1.63439	0.582682	0.027707	6.11281e-10
1.93	-1.64042	0.567458	0.0276752	-1.64042	0.567458	0.0276752	6.11833e-10
1.94	-1.64629	0.552144	0.027644	-1.64629	0.552144	0.027644	6.12382e-10
1.95	-1.65202	0.536741	0.0276135	-1.65202	0.536741	0.0276135	6.12928e-10
1.96	-1.65758	0.521251	0.0275837	-1.65758	0.521251	0.0275837	6.13471e-10
1.97	-1.66299	0.505675	0.0275546	-1.66299	0.505675	0.0275546	6.14011e-10
1.98	-1.66825	0.490014	0.027526	-1.66825	0.490014	0.027526	6.14547e-10
1.99	-1.67334	0.474271	0.0274982	-1.67334	0.474271	0.0274982	6.15079e-10
2	-1.67828	0.458445	0.027471	-1.67828	0.458445	0.027471	6.15608e-10
2.01	-1.68306	0.442539	0.0274444	-1.68306	0.442539	0.0274444	6.16133e-10
2.02	-1.68768	0.426554	0.0274185	-1.68768	0.426554	0.0274185	6.16654e-10
2.03	-1.69214	0.410492	0.0273932	-1.69214	0.410492	0.0273932	6.17171e-10
2.04	-1.69644	0.394354	0.0273686	-1.69644	0.394354	0.0273686	6.17684e-10
2.05	-1.70057	0.378141	0.0273446	-1.70057	0.378141	0.0273446	6.18194e-10
2.06	-1.70455	0.361856	0.0273213	-1.70455	0.361856	0.0273213	6.18699e-10
2.07	-1.70836	0.345498	0.0272986	-1.70836	0.345498	0.0272986	6.19201e-10
2.08	-1.712	0.329071	0.0272765	-1.712	0.329071	0.0272765	6.19698e-10
2.09	-1.71548	0.312575	0.0272551	-1.71548	0.312575	0.0272551	6.20193e-10
2.1	-1.7188	0.296012	0.0272343	-1.7188	0.296012	0.0272343	6.20684e-10
2.11	-1.72195	0.279384	0.0272142	-1.72195	0.279384	0.0272142	6.21172e-10
2.12	-1.72493	0.262691	0.0271947	-1.72493	0.262691	0.0271947	6.21657e-10
2.13	-1.72775	0.245936	0.0271758	-1.72775	0.245936	0.0271758	6.22139e-10
2.14	-1.73039	0.229121	0.0271576	-1.73039	0.229121	0.0271576	6.22618e-10
2.15	-1.73287	0.212245	0.02714	-1.73287	0.212245	0.02714	6.23095e-10
2.16	-1.73518	0.195313	0.027123	-1.73518	0.195313	0.027123	6.2357e-10
2.17	-1.73732	0.178324	0.0271067	-1.73732	0.178324	0.0271067	6.24043e-10
2.18	-1.73929	0.16128	0.027091	-1.73929	0.16128	0.027091	6.24514e-10
2.19	-1.74109	0.144184	0.0270759	-1.74109	0.144184	0.0270759	6.24984e-10
2.2	-1.74271	0.127036	0.0270615	-1.74271	0.127036	0.0270615	6.25453e-10
2.21	-1.74417	0.109838	0.0270477	-1.74417	0.109838	0.0270477	6.25921e-10
2.22	-1.74545	0.0925921	0.0270346	-1.74545	0.0925921	0.0270346	6.26389e-10
2.23	-1.74656	0.0752998	0.027022	-1.74656	0.0752998	0.027022	6.26856e-10
2.24	-1.7475	0.0579626	0.0270101	-1.7475	0.0579626	0.0270101	6.27324e-10
2.25	-1.74826	0.0405822	0.0269989	-1.74826	0.0405822	0.0269989	6.27792e-10
2.26	-1.74885	0.0231603	0.0269882	-1.74885	0.0231603	0.0269882	6.28261e-10
2.27	-1.74926	0.00569843	0.0269782	-1.74926	0.00569843	0.0269782	6.28732e-10
2.28	-1.7495	-0.0118016	0.0269689	-1.7495	-0.0118016	0.0269689	6.29204e-10
2.29	-1.74957	-0.0293383	0.0269601	-1.74957	-0.0293383	0.0269601	6.29678e-10
2.3	-1.74946	-0.0469098	0.026952	-1.74946	-0.0469098	0.026952	6.30154e-10
2.31	-1.74917	-0.0645145	0.0269446	-1.74917	-0.0645145	0.0269446	6.30634e-10
2.32	-1.7487	-0.0821506	0.0269378	-1.7487	-0.0821506	0.0269378	6.31116e-10
2.33	-1.74806	-0.0998166	0.0269316	-1.74806	-0.0998166	0.0269316	6.31602e-10
2.34	-1.74725	-0.117511	0.026926	-1.74725	-0.117511	0.026926	6.32092e-10
2.35	-1.74625	-0.135231	0.0269211	-1.74625	-0.135231	0.0269211	6.32587e-10
2.36	-1.74508	-0.152976	0.0269168	-1.74508	-0.152976	0.0269168	6.33086e-10
2.37	-1.74373	-0.170744	0.0269131	-1.74373	-0.170744	0.0269131	6.33591e-10
2.38	-1.7422	-0.188533	0.0269101	-1.7422	-0.188533	0.0269101	6.34101e-10
2.39	-1.7405	-0.206341	0.0269077	-1.7405	-0.206341	0.0269077	6.34618e-10
2.4	-1.73861	-0.224168	0.026906	-1.73861	-0.224168	0.026906	6.35141e-10
2.41	-1.73655	-0.24201	0.0269048	-1.73655	-0.24201	0.0269048	6.35671e-10
2.42	-1.73431	-0.259866	0.0269044	-1.73431	-0.259866	0.0269044	6.36209e-10
2.43	-1.73189	-0.277735	0.0269045	-1.73189	-0.277735	0.0269045	6.36755e-10
2.44	-1.7293	-0.295614	0.0269053	-1.7293	-0.295614	0.0269053	6.37308e-10
2.45	-1.72652	-0.313503	0.0269068	-1.72652	-0.313503	0.0269068	6.37871e-10
2.46	-1.72356	-0.331398	0.0269089	-1.72356	-0.331398	0.0269089	6.38443e-10
2.47	-1.72043	-0.349299	0.0269116	-1.72043	-0.349299	0.0269116	6.39025e-10
2.48	-1.71712	-0.367203	0.026915	-1.71712	-0.367203	0.026915	6.39617e-10
2.49	-1.71362	-0.38511	0.026919	-1.71362	-0.38511	0.026919	6.4022e-10
2.5	-1.70995	-0.403016	0.0269236	-1.70995	-0.403016	0.0269236	6.40834e-10
2.51	-1.7061	-0.42092	0.0269289	-1.7061	-0.42092	0.0269289	6.4146e-10
2.52	-1.70207	-0.438821	0.0269349	-1.70207	-0.438821	0.0269349	6.42097e-10
2.53	-1.69786	-0.456716	0.0269414	-1.69786	-0.456716	0.0269414	6.42747e-10
2.54	-1.69348	-0.474604	0.0269487	-1.69348	-0.474604	0.0269487	6.4341e-10
2.55	-1.68891	-0.492484	0.0269565	-1.68891	-0.492484	0.0269565	6.44087e-10
2.56	-1.68417	-0.510352	0.0269651	-1.68417	-0.510352	0.0269651	6.44777e-10
2.57	-1.67924	-0.528208	0.0269743	-1.67924	-0.528208	0.0269743	6.45481e-10
